Temps;Canal A;Canal B
(ms);(V);(V)

-21,53944597;0,13061920;0,53224280
-21,49848597;0,13061920;0,62166200
-21,45752597;0,13061920;0,71108130
-21,41656597;0,17471850;0,80050050
-21,37560597;0,17471850;0,80050050
-21,33464597;0,17471850;0,88991980
-21,29368597;0,21881770;1,06875800
-21,25272597;0,21881770;1,06875800
-21,21176597;0,21881770;1,15817700
-21,17080597;0,21881770;1,24759700
-21,12984597;0,26291700;1,33701600
-21,08888597;0,26291700;1,42674000
-21,04792597;0,30701620;1,51616000
-21,00696597;0,30701620;1,51616000
-20,96600597;0,35111550;1,60557900
-20,92504597;0,35111550;1,78441700
-20,88408597;0,35111550;1,78441700
-20,84312597;0,39521470;1,87383700
-20,80216597;0,39521470;1,96325600
-20,76120597;0,39521470;2,05267500
-20,72024598;0,39521470;2,14209400
-20,67928598;0,43931390;2,23151400
-20,63832598;0,48341320;2,32093300
-20,59736598;0,48341320;2,32093300
-20,55640598;0,48341320;2,41065700
-20,51544598;0,52751240;2,50007600
-20,47448598;0,52751240;2,58949500
-20,43352598;0,52751240;2,67891500
-20,39256598;0,57161170;2,76833400
-20,35160598;0,57161170;2,85775300
